e_cis;velikost;kraj;okres;mesto;ul_cis;ul_cis1;ul_cisn;vgs84_n;vgs84_eo
16071;CLV;Banská Bystrica;;Banská Bystrica;Sládkovičova/Kalinčiakova;sm Kremnička,COOP Jednota,pošta poliklinika;;48.720022;19.132359
16072;CLV;Banská Bystrica;;Banská Bystrica;Sládkovičova;sm ŽS,Nemocnica,COOP Jednota Zdravotnícka Univerzita;;48.721277;19.13317
16073;CLV;Banská Bystrica;;Banská Bystrica;Sládkovičova;sm ŽS,Nemocnica,COOP Jednota Zdravotnícka Univerzita;;48.721277;19.13317
16074;CLV;Banská Bystrica;;Banská Bystrica;Poľná;sm Sládkovičova-Radvaň;;48.721077;19.121716
16075;CLV;Banská Bystrica;;Banská Bystrica;Poľná;sm Sládkovičova-Radvaň;;48.721077;19.121716
16084;CLV;Banská Bystrica;;Banská Bystrica;T.Vansovej;pri Striebornom nám.Tesco Expres;;48.73653;19.141025
16085;CLV;Banská Bystrica;;Banská Bystrica;T.Vansovej;pri Striebornom nám.,Tesco Expres;;48.73653;19.141025
16090;CLV;Banská Bystrica;;Banská Bystrica;Ďumbierska;sm Nová Sásová,základná škola Univerzita Mateja Bela,PNS;;48.753276;19.159665
16091;CLV;Banská Bystrica;;Banská Bystrica;Ďumbierska;sm Nová Sásová,základná škola Univerzita Mateja Bela,PNS;;48.753276;19.159665
16092;CLV;Banská Bystrica;;Banská Bystrica;Karpatská;CBA,sm Nová Sásová;;48.757458;19.162746
16093;CLV;Banská Bystrica;;Banská Bystrica;Karpatská;CBA,sm Nová Sásová;;48.757458;19.162746
16098;CLV;Banská Bystrica;;Banská Bystrica;nám.Ľ.Štúra;sm ŽS,SC Europa,ČS OMV nábytok Važo;;48.726178;19.136651
16099;CLV;Banská Bystrica;;Banská Bystrica;nám.Ľ.Štúra;sm ŽS,SC Europa,ČS OMV nábytok Važo;;48.726176;19.136651
16166;CLV;Banská Bystrica;;Banská Bystrica;nám.Slobody-VÚB;pešia zóna pred vstupom do VÚB,1;;48.737304;19.155327
